Association,From Connection,To Connection,From Object,To Object
core.DataSetDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA,evaweprddls_ingress_all://adls/ingress-all/NPS-data
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/AnswerValueSum,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/AnswerValueSum
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DateTriggered,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DateTriggered
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/ProductGroup,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/ProductGroup
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DateTriggeredYear,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DateTriggeredYear
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/TriggeredInLastThreeAndCurrentMonth,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/TriggeredInLastThreeAndCurrentMonth
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/ExcutedInLastThreeAndCurrentMonth,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/ExcutedInLastThreeAndCurrentMonth
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DateExecutedYear,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DateExecutedYear
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/SurveyCode,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/SurveyCode
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DateTransferedYear,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DateTransferedYear
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/SurveyURL,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/SurveyURL
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DaysBetweenAnswerAndDetractorProcessed,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DaysBetweenAnswerAndDetractorProcessed
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/AnsweredOn,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/AnsweredOn
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/ScoreCommentExists,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/ScoreCommentExists
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DaysBetweenAnswerAndDetractorOrCommentProcessed,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DaysBetweenAnswerAndDetractorOrCommentProcessed
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/ScoreComment,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/ScoreComment
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DaysBetweenExecutionAndAnswer,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DaysBetweenExecutionAndAnswer
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DetractorCallDate,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DetractorCallDate
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CustomerCompanyNumber,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CustomerCompanyNumber
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CustomerPhone,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CustomerPhone
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CustomerFirstName,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CustomerFirstName
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/PostalCode_Cloud,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/PostalCode_Cloud
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CurrentStatusId,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CurrentStatusId
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DateTransferedMonth,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DateTransferedMonth
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CustomerCity,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CustomerCity
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/Material,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/Material
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CntSurveysSentAfterMDC,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CntSurveysSentAfterMDC
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/WasDetractorOnce,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/WasDetractorOnce
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CustomerEmail,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CustomerEmail
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/Salutation2,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/Salutation2
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/SurveyTypeCode,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/SurveyTypeCode
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/RejectionComment,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/RejectionComment
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CSI,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CSI
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DateDetractorProcessedMonth,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DateDetractorProcessedMonth
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/TransferedInLastThreeAndCurrentMonth,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/TransferedInLastThreeAndCurrentMonth
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CustomerNo,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CustomerNo
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CustomerLastName,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CustomerLastName
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CurrentStatusDisplayName,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CurrentStatusDisplayName
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CntSurveysTriggered,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CntSurveysTriggered
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CurrentStatusName,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CurrentStatusName
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/ResultClusters,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/ResultClusters
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CntSurveysTransfered,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CntSurveysTransfered
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CntSurveysExecuted,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CntSurveysExecuted
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CustomerSoldTO,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CustomerSoldTO
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/CntPromoter,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/CntPromoter
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DateDetractor,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DateDetractor
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DateRejected,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DateRejected
core.DirectionalDataFlow,,,synapse_evaprdsynspallservice_qa://SYNAPSE/dbo/Source_NPS_DATA/DetractorComment,evaweprddls_ingress_all://adls/ingress-all/NPS-data/adms_schema/DetractorComment
